#{"t_start": 1584131714.5192425, "env_id": "su_acrobot_cdc-v0"}
r,l,t
-13.468945,51,1.467013
-50.742721,51,2.123238
-90.524462,51,2.764318
-38.116566,51,3.424572
-29.607472,51,4.096903
2.545968,51,4.772759
-17.193881,51,5.432833
-74.671804,51,6.104607
-13.585883,51,6.778028
-26.242733,51,7.445471
-42.131374,51,8.119479
-3.720071,51,8.788272
-3.235225,51,9.448838
-9.187966,51,10.113195
-64.102699,51,10.771669
-49.557326,51,11.428056
-0.303818,51,12.088057
3.009477,51,12.742909
-35.358993,51,13.411516
-30.339108,51,14.072512
-6.958876,51,14.749259
-21.453408,51,15.417651
-40.86089,51,16.061643
6.452593,51,16.703638
-43.646777,51,17.351626
-78.533452,51,18.014402
-46.46031,51,18.667481
-17.804929,51,19.324548
-41.498301,51,19.984516
25.780716,51,20.639821
-41.073449,51,21.29609
-16.580509,51,21.941904
-12.878538,51,22.594887
-41.819283,51,23.283139
-84.933128,51,23.936084
-95.142911,51,24.593182
-36.438286,51,25.229989
-23.186999,51,25.871224
-19.407396,51,26.534977
-38.750704,51,27.188819
-6.123567,51,27.839665
-41.326576,51,28.494986
-15.209073,51,29.142419
-14.576695,51,29.793907
-21.177595,51,30.462007
-66.89169,51,31.117641
-23.559009,51,31.763313
-93.540754,51,32.422236
8.577761,51,33.087214
-1.792658,51,33.742141
-56.303395,51,34.411654
-57.093686,51,35.069304
-23.695492,51,35.734143
0.922774,51,36.397446
-16.896102,51,37.079597
18.845642,51,37.738003
-43.722108,51,38.375598
-5.330314,51,39.032716
-45.856824,51,39.678808
-10.77141,51,40.328565
-10.729657,51,40.986479
-67.511146,51,41.648205
-33.817531,51,42.29349
10.679003,51,42.96857
-43.375946,51,43.612302
-35.513929,51,44.264156
-1.546383,51,44.920888
-1.284248,51,45.588653
-19.742533,51,46.249188
-93.392643,51,46.89235
-13.489563,51,47.541489
-19.061379,51,48.182204
-4.558518,51,48.840357
-87.83685,51,49.49287
-15.575771,51,50.148927
-35.344462,51,50.796142
-87.586287,51,51.44415
-15.25451,51,52.101159
-51.043846,51,52.749823
-33.29955,51,53.405027
-24.065657,51,54.053695
-80.467877,51,54.690249
-18.455334,51,55.34729
-28.285132,51,56.008093
3.864336,51,56.660731
-45.701437,51,57.328223
-24.774809,51,57.97824
17.393438,51,58.63186
10.104008,51,59.281553
4.304065,51,59.934151
-1.669521,51,60.592736
1.141496,51,61.239333
-39.581583,51,61.903763
-10.769511,51,62.56814
-13.429278,51,63.220898
-53.6888,51,63.874278
-34.227316,51,64.543413
-52.951753,51,65.20461
-10.944923,51,65.860982
-69.566149,51,66.51593
-29.568566,51,67.181643
-16.893244,51,67.83849
-30.121621,51,68.490305
-23.759165,51,69.141216
10.664562,51,69.793777
-80.479686,51,70.463398
-40.973104,51,71.117818
3.032382,51,71.773887
-17.081345,51,72.419755
-57.556148,51,73.069666
4.40056,51,73.730574
13.006773,51,74.371949
14.329255,51,75.025913
-9.412593,51,75.686062
-53.353882,51,76.345638
6.46438,51,77.009133
-4.15261,51,77.669929
11.91895,51,78.328667
-24.941435,51,79.000201
-13.795868,51,79.654121
-11.355083,51,80.314199
-7.03677,51,80.968113
-16.113744,51,81.616967
6.581848,51,82.27104
-36.440158,51,82.925789
-32.119779,51,83.581593
5.316947,51,84.242167
2.428179,51,84.9063
-52.622262,51,85.561557
-14.582959,51,86.211661
-21.84598,51,86.86974
-16.732848,51,87.528051
-15.68782,51,88.164268
-11.16081,51,88.818435
0.166907,51,89.472926
-46.119362,51,90.129456
5.413004,51,90.772297
-8.150019,51,91.432518
-26.411431,51,92.08288
-7.15047,51,92.73793
-5.843346,51,93.398661
-17.730476,51,94.057601
-24.556111,51,94.713279
7.963558,51,95.369989
-23.823083,51,96.013604
-7.598881,51,96.68832
-23.400082,51,97.356792
-8.096773,51,98.004299
-7.478143,51,98.659869
-7.133026,51,99.317825
-17.994072,51,99.980751
-5.963484,51,100.636527
-21.390872,51,101.29423
7.513635,51,101.940132
-0.274092,51,102.607443
-41.1428,51,103.262466
-0.570052,51,103.911863
15.906529,51,104.571296
-5.539255,51,105.215173
-2.398302,51,105.877571
-23.181877,51,106.532266
-23.376305,51,107.197744
-33.677212,51,107.848425
14.010089,51,108.516611
-3.108892,51,109.180473
9.937337,51,109.839061
-1.215937,51,110.505475
-23.415956,51,111.161907
-15.869241,51,111.808915
-43.988928,51,112.469458
-13.605936,51,113.125535
7.483364,51,113.778034
-2.912363,51,114.430088
-8.034505,51,115.080292
0.090241,51,115.723095
0.897064,51,116.380762
-14.449775,51,117.033842
