#{"t_start": 1584152730.1389377, "env_id": "su_acrobot_cdc-v0"}
r,l,t
-15.474693,51,1.44484
-7.200173,51,2.154433
-8.046617,51,2.818504
-8.973691,51,3.475703
-23.871788,51,4.134578
-17.528256,51,4.974452
-35.387076,51,5.621899
-10.529633,51,6.266917
1.457167,51,6.912189
-50.310126,51,7.564528
-58.821594,51,8.293727
-7.37298,51,8.956901
-94.494954,51,9.62387
0.808979,51,10.286245
-15.112832,51,10.955873
17.539779,51,11.683645
-5.874828,51,12.328352
-40.521954,51,12.960438
-40.077981,51,13.611234
-56.302267,51,14.26343
-16.706273,51,14.960421
-1.914132,51,15.594233
-24.011,51,16.232607
-13.176055,51,16.87353
-30.858933,51,17.515285
-1.765843,51,18.227639
-35.180416,51,18.88163
-1.609513,51,19.541202
-21.441357,51,20.197275
-42.144789,51,20.853745
-10.431441,51,21.555272
-14.931762,51,22.200656
-26.805906,51,22.842706
14.715358,51,23.482503
-71.401961,51,24.123927
-13.297992,51,24.85111
-48.659462,51,25.51011
-29.1855,51,26.168342
-7.788474,51,26.830631
2.338511,51,27.492538
12.76484,51,28.206377
-18.462127,51,28.871621
6.12053,51,29.515766
-1.659701,51,30.157746
-38.886464,51,30.808906
-23.827541,51,31.509233
1.158429,51,32.15227
5.798998,51,32.795662
-71.851639,51,33.435834
-8.406528,51,34.074638
-44.330441,51,34.779197
-54.419968,51,35.426242
12.234811,51,36.07412
-29.178763,51,36.716444
7.30809,51,37.358409
-53.812052,51,38.078623
-27.085939,51,38.719653
-16.557493,51,39.357909
-24.170133,51,40.003731
-73.881967,51,40.65559
-15.312366,51,41.367842
-21.992278,51,42.01116
-31.240174,51,42.658056
-7.651308,51,43.347769
-59.685464,51,44.040496
0.261063,51,44.778294
-38.648704,51,45.491648
-58.941197,51,46.170012
5.508718,51,46.836077
-26.040306,51,47.506229
-14.958289,51,48.246177
-23.414736,51,48.938477
-29.464538,51,49.618667
-5.589993,51,50.274122
1.832012,51,50.918777
-25.075582,51,51.633144
-14.140212,51,52.292914
-0.207445,51,52.946666
-27.737028,51,53.648598
10.616016,51,54.299911
3.433703,51,55.02013
-0.9538,51,55.685894
11.140948,51,56.340342
0.275292,51,56.987386
-35.094269,51,57.635723
-19.78752,51,58.35759
2.595102,51,59.00707
10.02582,51,59.647701
2.237827,51,60.300696
-36.930566,51,60.938475
-4.729412,51,61.644546
-47.490199,51,62.284359
-5.664985,51,62.924106
-57.630588,51,63.571244
-30.796171,51,64.2183
-5.221366,51,64.931296
-24.148851,51,65.608506
-2.818268,51,66.306927
2.524404,51,66.956088
-45.461071,51,67.601174
-16.97269,51,68.321856
-10.390493,51,68.983371
2.966045,51,69.630278
-71.915082,51,70.2703
-33.417325,51,70.904383
-9.811476,51,71.634535
-19.387157,51,72.287668
7.572029,51,72.939816
-8.846623,51,73.605162
-21.144062,51,74.245122
-44.537748,51,74.952947
-11.780794,51,75.587045
-61.710869,51,76.232292
1.625093,51,76.868654
-11.57559,51,77.506896
4.474809,51,78.251994
-26.404476,51,78.896933
-15.474535,51,79.545004
1.039288,51,80.204532
6.500842,51,80.840337
3.979584,51,81.539626
8.087179,51,82.177535
4.646879,51,82.823659
-17.611619,51,83.457664
-50.549028,51,84.094011
-0.357515,51,84.812822
-7.366073,51,85.473018
1.739497,51,86.109478
8.95299,51,86.756971
-6.825411,51,87.389078
