#{"t_start": 1584145661.5087447, "env_id": "su_acrobot_cdc-v0"}
r,l,t
-19.782521,51,1.134159
3.651875,51,1.177947
-1.914973,51,1.221934
12.050386,51,1.265939
-11.541361,51,1.30999
1.110165,51,1.354054
-0.86926,51,1.39807
-16.714982,51,1.442128
9.114104,51,1.486082
-9.842013,51,1.530256
-26.242705,51,1.574329
-10.76342,51,1.617856
-11.521214,51,1.661492
-15.132951,51,1.704713
-11.749186,51,1.748054
1.244701,51,1.79177
-8.875713,51,1.835798
-28.907902,51,1.879807
-6.945508,51,1.923621
-7.730125,51,2.260533
5.910335,51,2.454861
0.635301,51,2.640134
8.64185,51,2.822499
-9.435876,51,2.991346
-22.405318,51,3.169474
-13.993499,51,3.352684
-17.956993,51,3.522522
-11.482035,51,3.7072
8.653819,51,3.889165
-1.673953,51,4.06772
7.584783,51,4.243926
-0.599684,51,4.425805
-0.46665,51,4.60053
-7.924597,51,4.774756
-10.224964,51,4.951623
4.766825,51,5.130954
9.333928,51,5.302047
-2.218144,51,5.47099
-8.293129,51,5.647016
2.03024,51,5.816539
5.71599,51,5.995514
-8.316549,51,6.169339
-2.959969,51,6.341025
-7.95348,51,6.51566
4.779572,51,6.685242
-7.918392,51,6.857306
-2.289866,51,7.035719
-12.773242,51,7.200624
-4.047934,51,7.375235
11.383569,51,7.55223
0.510238,51,7.734817
-5.071788,51,7.913754
3.415819,51,8.094422
-1.869627,51,8.264907
4.316623,51,8.441714
2.011463,51,8.608831
9.812676,51,8.786853
-5.296663,51,8.974462
10.129385,51,9.153618
-1.801598,51,9.325666
-4.169016,51,9.49254
-8.404714,51,9.662779
-3.917351,51,9.844769
-2.863465,51,10.017297
-1.741138,51,10.199579
2.091676,51,10.399671
-7.878754,51,10.586285
0.92756,51,10.778795
3.06221,51,10.95261
-3.862933,51,11.122858
-3.725304,51,11.305127
-2.821848,51,11.481708
4.446434,51,11.653165
4.260168,51,11.831458
8.383636,51,12.00698
-5.397724,51,12.183285
-2.675338,51,12.357659
12.156508,51,12.52894
-3.374626,51,12.705014
-3.915644,51,12.891145
2.255461,51,13.073994
-5.930501,51,13.252359
8.938598,51,13.429666
-2.131086,51,13.603977
-11.685414,51,13.789344
-3.866256,51,13.966793
6.402121,51,14.143793
4.195599,51,14.327248
8.737589,51,14.514077
-0.803803,51,14.700242
-0.529803,51,14.885382
9.955028,51,15.067196
4.915396,51,15.253637
-1.474676,51,15.436702
11.757446,51,15.619256
-2.110291,51,15.810322
5.076054,51,15.990601
-8.18399,51,16.174835
4.123688,51,16.357164
3.035823,51,16.547138
4.722301,51,16.729242
-0.692293,51,16.90364
-8.814363,51,17.079635
0.420206,51,17.250618
-3.49293,51,17.417745
-9.525037,51,17.588006
2.852114,51,17.762437
-17.474577,51,17.938473
-2.992859,51,18.114249
14.844443,51,18.283267
-0.951559,51,18.462576
4.556138,51,18.64496
16.652532,51,18.82601
2.320539,51,19.001547
2.46853,51,19.193258
-4.755905,51,19.367599
3.257493,51,19.554116
-11.148743,51,19.732182
27.499997,51,19.907319
2.72365,51,20.094795
13.528598,51,20.265206
1.852418,51,20.437659
3.69087,51,20.619647
4.600522,51,20.795658
1.784259,51,20.972447
8.74093,51,21.152994
-0.11741,51,21.330599
6.674421,51,21.507508
3.64706,51,21.678949
6.248398,51,21.856531
-6.253341,51,22.031057
-4.238209,51,22.205627
10.910055,51,22.382248
1.089962,51,22.554615
2.500467,51,22.730489
-0.788678,51,22.90489
-5.529212,51,23.076137
9.399837,51,23.241163
-0.333522,51,23.41605
2.105106,51,23.599125
2.35219,51,23.774348
9.250211,51,23.947443
1.821633,51,24.127141
4.453891,51,24.307333
1.322763,51,24.48412
-11.571105,51,24.66404
-4.608246,51,24.845766
7.456703,51,25.019422
-1.01178,51,25.205932
0.500407,51,25.3867
-3.116127,51,25.564166
-4.659299,51,25.732098
0.842298,51,25.90769
-7.911141,51,26.082193
4.399944,51,26.258528
6.152488,51,26.443368
-0.321698,51,26.622489
-3.298906,51,26.7958
1.663346,51,26.971057
-2.149584,51,27.156501
2.451186,51,27.319787
-2.310571,51,27.495015
2.92396,51,27.681821
-6.428243,51,27.859674
2.082534,51,28.048383
2.28882,51,28.233107
1.240391,51,28.409951
2.267339,51,28.587162
0.683861,51,28.763272
2.640864,51,28.948112
3.490566,51,29.124897
2.629849,51,29.30702
3.222127,51,29.487047
0.934799,51,29.66706
1.956179,51,29.845707
5.497213,51,30.01977
-3.566977,51,30.186268
9.005282,51,30.35953
17.894086,51,30.531456
5.118159,51,30.708006
3.271106,51,30.878267
2.531561,51,31.054393
3.135361,51,31.234879
5.869559,51,31.410491
3.773099,51,31.585654
7.43989,51,31.757168
4.890568,51,31.938073
6.269936,51,32.113877
2.466849,51,32.298063
9.198064,51,32.47489
2.802052,51,32.650309
8.387232,51,32.83448
7.43636,51,33.005327
-2.620629,51,33.183439
6.88343,51,33.362159
3.274411,51,33.533656
5.679274,51,33.705607
5.550431,51,33.888692
6.517064,51,34.070452
4.045118,51,34.251948
8.630598,51,34.435752
14.000263,51,34.620905
2.23945,51,34.801812
8.193586,51,34.990944
3.919097,51,35.172611
3.231742,51,35.349564
5.28385,51,35.531842
8.292983,51,35.710088
5.649512,51,35.888602
6.277871,51,36.074599
9.256782,51,36.253222
8.055657,51,36.436922
18.044748,51,36.615382
10.552164,51,36.79219
12.573646,51,36.971637
5.825399,51,37.151072
5.214558,51,37.333923
15.587959,51,37.511502
4.722894,51,37.695979
11.30302,51,37.865283
8.648871,51,38.053853
16.973835,51,38.237708
10.519227,51,38.42614
9.353205,51,38.602557
6.537048,51,38.779888
9.47753,51,38.951622
9.297276,51,39.120508
8.662317,51,39.294812
8.617763,51,39.466723
4.72443,51,39.644211
15.20461,51,39.815282
12.769552,51,39.994831
5.60745,51,40.177516
4.979607,51,40.36313
19.541835,51,40.540475
19.707152,51,40.725789
5.587306,51,40.893858
7.834939,51,41.065432
10.72587,51,41.249162
9.544192,51,41.429576
5.308635,51,41.598778
10.108897,51,41.782675
19.471095,51,41.965099
6.178919,51,42.146528
5.641842,51,42.317162
15.969406,51,42.490406
19.279998,51,42.660351
16.521004,51,42.832738
18.253538,51,43.015231
10.854027,51,43.191562
12.6481,51,43.381366
16.42259,51,43.574934
8.059537,51,43.766147
7.365463,51,43.94174
4.598601,51,44.122051
18.235459,51,44.286891
30.37104,51,44.468314
14.562895,51,44.64532
14.969951,51,44.812886
21.26307,51,45.000116
25.277866,51,45.178193
19.110836,51,45.354201
24.120327,51,45.53086
16.809998,51,45.707557
24.275477,51,45.878058
16.225569,51,46.053348
15.213449,51,46.226172
16.387052,51,46.395451
14.005667,51,46.582808
17.234282,51,46.74762
2.214694,51,46.913597
12.384003,51,47.085762
21.756119,51,47.255556
20.324431,51,47.434946
-10.480707,51,47.619535
23.479781,51,47.792171
14.506155,51,47.960897
12.112032,51,48.138638
31.570232,51,48.31361
11.790099,51,48.488397
13.650569,51,48.667105
21.776147,51,48.838742
20.884339,51,49.013161
2.782159,51,49.178744
13.871515,51,49.351737
13.93071,51,49.532146
16.62298,51,49.715893
15.073138,51,49.890323
15.095218,51,50.079226
25.799504,51,50.25697
19.194028,51,50.436499
24.54947,51,50.617159
6.305306,51,50.799873
25.941369,51,50.976857
13.45222,51,51.156037
31.476843,51,51.337517
12.627259,51,51.508456
25.14323,51,51.680273
26.017519,51,51.849354
14.258896,51,52.027199
-8.462012,51,52.214577
26.323371,51,52.387495
11.972918,51,52.558315
23.854502,51,52.721575
30.008175,51,52.888712
25.991538,51,53.055092
26.443177,51,53.21865
42.944781,51,53.395857
27.776615,51,53.576889
13.932826,51,53.745767
-3.31237,51,53.925466
16.847422,51,54.099888
24.817945,51,54.271905
34.559267,51,54.457124
41.662066,51,54.633502
16.785371,51,54.814272
28.17405,51,54.989455
38.503287,51,55.163218
