#{"t_start": 1584139980.9670455, "env_id": "su_acrobot_cdc-v0"}
r,l,t
2.522696,51,0.942206
2.234417,51,0.985231
-2.178847,51,1.028725
-5.301169,51,1.071865
-9.787412,51,1.114787
-18.785274,51,1.157641
-6.110622,51,1.200744
-4.730112,51,1.24403
-16.418044,51,1.287019
-21.959146,51,1.329908
-5.811326,51,1.37283
-9.432752,51,1.415844
-4.045761,51,1.458898
-20.0309,51,1.501966
-14.367609,51,1.545004
-14.003953,51,1.588096
-13.637742,51,1.631174
2.872416,51,1.674086
-1.440275,51,1.716798
5.344575,51,2.136866
2.847986,51,2.194357
4.136948,51,2.413508
-0.01505,51,2.474439
-2.063763,51,2.683402
-3.730726,51,2.739748
1.91208,51,2.946253
1.192323,51,3.010819
0.564971,51,3.236158
0.747778,51,3.294871
0.355729,51,3.498496
-6.081109,51,3.558707
5.276103,51,3.781667
2.657584,51,3.849264
-0.80153,51,4.075362
2.132143,51,4.147137
8.253924,51,4.384016
-1.538405,51,4.457336
-1.578552,51,4.675496
-4.72048,51,4.749139
7.314115,51,4.988674
4.274042,51,5.063561
3.108259,51,5.296785
2.171372,51,5.355951
1.848001,51,5.581329
0.324502,51,5.648427
-2.617549,51,5.862192
-3.901587,51,5.925011
5.81863,51,6.152267
-2.593557,51,6.207806
0.337583,51,6.429687
-1.443064,51,6.488289
4.190498,51,6.716954
0.725709,51,6.955488
2.398838,51,7.01937
-1.047854,51,7.251835
-2.512873,51,7.321849
-0.85796,51,7.557175
2.569943,51,7.62444
-1.673744,51,7.852292
-0.42634,51,7.925651
1.588732,51,8.138031
0.001748,51,8.20391
0.622056,51,8.416314
5.454359,51,8.475601
3.45891,51,8.68166
8.408078,51,8.736378
0.942255,51,8.955328
-0.073764,51,9.013243
1.436361,51,9.231998
0.772244,51,9.29454
-2.845534,51,9.518953
-4.448222,51,9.57618
4.812642,51,9.784031
3.449373,51,9.845005
-5.469685,51,10.062286
0.773349,51,10.119408
-2.498563,51,10.332901
0.912495,51,10.381297
-3.849408,51,10.591113
2.689276,51,10.641892
0.656202,51,10.854478
0.102104,51,10.912844
-2.578546,51,11.125207
5.186198,51,11.181694
-2.410056,51,11.404122
0.191943,51,11.470068
0.572592,51,11.683122
-3.453832,51,11.748793
-4.672267,51,11.963062
-3.32027,51,12.022804
0.695079,51,12.234824
1.425919,51,12.311191
-2.421176,51,12.556159
3.557728,51,12.622945
-1.976561,51,12.847095
1.911871,51,12.91548
0.203859,51,13.131881
3.24311,51,13.199909
0.819433,51,13.443126
-2.116241,51,13.50483
6.961349,51,13.73815
1.007221,51,13.965584
0.743924,51,14.027804
1.119182,51,14.248672
-0.837342,51,14.308023
-1.835967,51,14.532802
1.606932,51,14.603248
2.480654,51,14.830659
1.751685,51,14.888784
-3.07887,51,15.119447
-3.094446,51,15.17387
-1.440779,51,15.391285
1.629077,51,15.452338
-1.653102,51,15.672264
1.62174,51,15.735911
0.734866,51,15.951047
1.959025,51,16.014522
-2.081028,51,16.226843
-0.408329,51,16.284061
-5.87592,51,16.519912
5.769589,51,16.573191
2.928586,51,16.801037
0.641401,51,16.861993
-0.292611,51,17.070969
5.494685,51,17.137422
-0.696267,51,17.369217
3.342364,51,17.431595
2.774417,51,17.649939
3.470526,51,17.71414
2.926164,51,17.940915
-0.226813,51,18.015392
1.136811,51,18.241898
0.578654,51,18.320213
3.573827,51,18.551281
-1.481896,51,18.62409
0.087831,51,18.850096
0.478553,51,18.911532
0.945189,51,19.143231
-0.276969,51,19.207256
3.531462,51,19.439729
-3.556045,51,19.504244
-3.992376,51,19.728474
-2.205409,51,19.800702
-1.189024,51,20.01593
6.687572,51,20.079606
1.436038,51,20.295679
-2.983859,51,20.354812
5.48094,51,20.581973
-4.551705,51,20.654322
-0.536257,51,20.867695
-3.425999,51,20.921913
-3.549877,51,21.14473
-2.681375,51,21.36143
-5.486905,51,21.43256
-6.158142,51,21.662714
-3.779992,51,21.724526
-1.820286,51,21.943686
0.947715,51,21.998599
-6.071719,51,22.221675
4.340971,51,22.287142
1.427265,51,22.5174
-0.398548,51,22.585065
-1.473822,51,22.824685
3.449536,51,22.887541
-3.490111,51,23.115074
-0.753761,51,23.187688
1.251236,51,23.414905
-3.183705,51,23.477868
-4.341492,51,23.710316
-0.211851,51,23.775427
-0.288941,51,24.007857
-1.163917,51,24.085136
-2.991801,51,24.314886
-4.368011,51,24.39789
-1.047637,51,24.62453
9.30427,51,24.685094
-4.657423,51,24.908899
1.718644,51,24.966693
-2.370022,51,25.200732
-1.007784,51,25.266392
-1.196905,51,25.493037
1.079288,51,25.548441
4.641408,51,25.795365
-4.836601,51,25.85703
-3.983729,51,26.081833
-2.380857,51,26.144005
0.45567,51,26.370761
1.929148,51,26.434329
-0.045121,51,26.645016
-3.626502,51,26.700908
-2.743703,51,26.913249
-5.289429,51,26.975855
2.227189,51,27.214
0.277008,51,27.269692
5.584191,51,27.483683
2.758209,51,27.543147
5.331973,51,27.770212
0.152508,51,27.837044
-4.028715,51,28.079209
-2.19881,51,28.13451
-5.941187,51,28.357702
-3.89039,51,28.586312
8.467526,51,28.65056
-0.579464,51,28.872859
-4.687036,51,28.9319
0.213328,51,29.146075
0.089504,51,29.223384
3.16587,51,29.448401
-2.550732,51,29.511937
6.726128,51,29.729257
1.338075,51,29.787396
3.087625,51,30.009074
-5.016859,51,30.073162
0.397592,51,30.295213
1.49166,51,30.375932
1.151434,51,30.620814
-2.600288,51,30.684299
2.552959,51,30.899426
