#{"t_start": 1584133377.4523473, "env_id": "su_acrobot_cdc-v0"}
r,l,t
18.144628,51,1.258803
-96.065241,51,1.310758
-44.758253,51,1.36232
3.884797,51,1.413932
-45.76253,51,1.470816
-82.513751,51,1.519312
-14.342232,51,1.569183
-3.07214,51,1.619802
13.030707,51,1.670402
-12.915101,51,1.721271
-3.606837,51,1.772028
-28.602198,51,1.822561
-27.436698,51,1.873779
-25.610469,51,1.924479
-36.244242,51,1.97515
-90.674694,51,2.025084
-82.268737,51,2.075133
-8.238698,51,2.125296
-28.569214,51,2.175331
-40.005829,51,2.225369
-84.312825,51,2.658416
-7.610334,51,2.712942
-62.968194,51,2.765033
-35.104259,51,2.819168
-26.241133,51,2.871296
-35.725303,51,2.923413
-25.891272,51,2.975101
-8.429556,51,3.028487
-83.264167,51,3.081748
-29.202843,51,3.133623
-28.509778,51,3.187719
-4.467761,51,3.239464
-62.412468,51,3.291427
-39.898664,51,3.343454
-2.491475,51,3.395144
-52.58711,51,3.447178
-17.607394,51,3.504199
-13.993591,51,3.553428
-77.8729,51,3.602803
4.207052,51,3.652718
-74.129423,51,3.785895
-15.500463,51,3.837116
-46.308329,51,3.887984
-4.601449,51,3.939246
-3.895636,51,3.990163
10.981326,51,4.040921
-62.785156,51,4.091606
-42.837255,51,4.142334
-49.62195,51,4.193747
-51.029469,51,4.244404
-39.159454,51,4.295082
-61.849744,51,4.345731
-99.120978,51,4.396289
-48.126902,51,4.446401
-83.878051,51,4.496443
-31.38051,51,4.54627
-23.661106,51,4.596542
-19.566226,51,4.646962
-12.753391,51,4.702874
-11.932154,51,4.75325
-35.798167,51,4.884156
-15.319213,51,4.93412
-37.584685,51,4.984797
-11.250298,51,5.035697
-57.95808,51,5.087679
-47.238655,51,5.139184
3.805727,51,5.191221
-10.624058,51,5.243015
-4.150056,51,5.294541
-7.978675,51,5.346803
-70.524517,51,5.397489
-31.906158,51,5.448906
-40.103655,51,5.500866
15.68659,51,5.552294
-32.347612,51,5.603605
-18.065162,51,5.65509
-0.808486,51,5.706748
4.198829,51,5.764914
-37.192395,51,5.818136
-3.459556,51,5.871143
-34.829662,51,6.002175
-34.690529,51,6.05553
-55.836669,51,6.109543
-31.099943,51,6.162563
-86.2124,51,6.215271
-6.517156,51,6.266569
9.246281,51,6.316674
-96.693314,51,6.366762
-2.407872,51,6.416693
-73.136409,51,6.466732
-31.438026,51,6.516999
-40.139265,51,6.567359
-55.429801,51,6.623352
-6.520218,51,6.677003
-83.677499,51,6.7288
-15.675687,51,6.781772
-20.965711,51,6.83373
-31.452022,51,6.885751
-44.171306,51,6.93743
-48.085774,51,6.989774
-40.238203,51,7.121431
-23.521751,51,7.173312
-38.0302,51,7.225371
-12.911549,51,7.278159
-23.690878,51,7.33033
-70.737602,51,7.383028
-82.795982,51,7.434536
4.124071,51,7.490566
-1.241833,51,7.547012
-76.343723,51,7.604376
-37.711337,51,7.660954
-13.405313,51,7.714704
-39.939444,51,7.769511
3.171145,51,7.826896
-35.767494,51,7.880004
2.851772,51,7.931384
-7.445323,51,7.982478
-41.14674,51,8.033284
-11.879841,51,8.08394
-35.084373,51,8.135813
